"Data Item","Module","Source File","State Owner","Current Storage","Current Source of Truth","User Scoped?","Backend API","Prisma Model","DB Field","Offline Capable?","Duplicate?","Recommended Future Storage"
"User ID","Auth & Profile","server.ts","Express Session","Prisma PostgreSQL / Memory","Prisma User","Yes","/api/auth/*","User","id","Yes","No","Prisma PostgreSQL User.id"
"Full Name","Auth & Profile","server.ts","React AppContext","Prisma PostgreSQL / AppState / idb","Prisma User","Yes","/api/auth/*, /api/state","User","name","Yes","Yes","Prisma PostgreSQL User.name"
"Email Address","Auth & Profile","server.ts","React AppContext","Prisma PostgreSQL / AppState / idb","Prisma User","Yes","/api/auth/*, /api/state","User","email","Yes","Yes","Prisma PostgreSQL User.email"
"Password Hash","Auth & Profile","server.ts","Server Security","Prisma PostgreSQL / inMemoryUsers","Prisma User","Yes","/api/auth/*","User","password","No","No","Prisma PostgreSQL User.password"
"Preferred Language","Settings","AppContext.tsx","React AppContext","IndexedDB / AppState","IndexedDB","Yes","/api/state, /api/translations","User","preferredLanguage","Yes","Yes","Prisma PostgreSQL User.preferredLanguage"
"Maternal Journey Stage","Profile & Onboarding","AppContext.tsx","React AppContext","IndexedDB / JourneyProfile","Prisma JourneyProfile","Yes","/api/auth/*, /api/state","JourneyProfile","journeyStage","Yes","Yes","Prisma PostgreSQL JourneyProfile.journeyStage"
"Estimated Due Date (EDD)","Pregnancy Core","AppContext.tsx","React AppContext","IndexedDB / JourneyProfile","Prisma JourneyProfile","Yes","/api/state","JourneyProfile","eddDate","Yes","Yes","Prisma PostgreSQL JourneyProfile.eddDate"
"Last Menstrual Period (LMP)","Preconception & Pregnancy","PreconceptionCycleLab.tsx","React AppContext / localStorage","localStorage bloom_pre_lastPeriodDate","localStorage","Yes","No","JourneyProfile","lmpDate","Yes","Yes","Prisma PostgreSQL JourneyProfile.lmpDate"
"Current Gestational Week","Pregnancy Core","AppContext.tsx","React AppContext","IndexedDB / JourneyProfile","Prisma JourneyProfile","Yes","/api/state","JourneyProfile","currentWeek","Yes","Yes","Prisma PostgreSQL JourneyProfile.currentWeek"
"Trimester Number","Pregnancy Core","AppContext.tsx","React AppContext","IndexedDB / JourneyProfile","Prisma JourneyProfile","Yes","/api/state","JourneyProfile","trimester","Yes","Yes","Prisma PostgreSQL JourneyProfile.trimester"
"Doctor & Hospital Info","Care & Appointments","AppContext.tsx","React AppContext","IndexedDB / AppState","IndexedDB","Yes","/api/state","AppState","obgynName, hospitalName","Yes","Yes","Prisma PostgreSQL JourneyProfile (New fields)"
"Systolic & Diastolic BP","Health Vitals","HealthTrackerPage.tsx","React AppContext","Prisma PostgreSQL / idb","Prisma HealthVitalLog","Yes","/api/vitals","HealthVitalLog","systolicBp, diastolicBp","Yes","Yes","Prisma PostgreSQL HealthVitalLog"
"Blood Glucose & Context","Health Vitals","HealthTrackerPage.tsx","React AppContext","Prisma PostgreSQL / idb","Prisma HealthVitalLog","Yes","/api/vitals","HealthVitalLog","glucoseMgDl, glucoseContext","Yes","Yes","Prisma PostgreSQL HealthVitalLog"
"Body Weight (kg)","Health Vitals","HealthTrackerPage.tsx","React AppContext","Prisma PostgreSQL / idb","Prisma HealthVitalLog","Yes","/api/vitals","HealthVitalLog","weightKg","Yes","Yes","Prisma PostgreSQL HealthVitalLog"
"Pulse Rate","Health Vitals","HealthTrackerPage.tsx","React AppContext","Prisma PostgreSQL / idb","Prisma HealthVitalLog","Yes","/api/vitals","HealthVitalLog","pulse","Yes","Yes","Prisma PostgreSQL HealthVitalLog"
"Water Intake (ml)","Health Vitals & Preconception","PreconceptionNutrition.tsx","React AppContext / localStorage","localStorage bloom_pre_water_YYYY-MM-DD","localStorage","Yes","/api/vitals","HealthVitalLog","waterMl","Yes","Yes","Prisma PostgreSQL HealthVitalLog"
"Baby Kicks Count","Kick Counter","KickCounterPage.tsx","React AppContext","IndexedDB bloomnest_app_state_v1","IndexedDB","Yes","No","HealthVitalLog","babyKicksCount","Yes","No","Prisma PostgreSQL HealthVitalLog / KickLog"
"Contraction Duration & Interval","Contraction Timer","ContractionTimerPage.tsx","React AppContext","IndexedDB bloomnest_app_state_v1","IndexedDB","Yes","No","None","NOT FOUND","Yes","No","Prisma PostgreSQL ContractionLog (New Model)"
