Entity Name,Domain,Primary Key,Foreign Keys,User Owned,Canonical Source,Current Storage,Future Storage,Offline Cache,AI Accessible,Sensitivity,Why Required / Existing Codebase Justification
User,Identity & Access,id (UUID),None,Yes,PostgreSQL,Prisma DB / Memory,PostgreSQL User Table,Yes,FULL (Name/ID),CRITICAL,User account identity & auth. Justified by User interface in types.ts.
JourneyProfile,Maternal Journey,id (UUID),userId -> User(id),Yes,PostgreSQL,Prisma JourneyProfile,PostgreSQL JourneyProfile,Yes,FULL,HIGH,Tracks stage (PRE/PREGNANCY/POST) LMP EDD week. Justified by UserProfile in types.ts.
PreconceptionCycleLog,Preconception,id (UUID),userId -> User(id),Yes,PostgreSQL,localStorage (bloom_pre_cycleLogs),PostgreSQL PreconceptionCycleLog,Yes,FULL,CRITICAL,Daily cervical mucus BBT LH intercourse observations. Justified by PreconceptionCycleLab.tsx.
PreconceptionSupplementLog,Preconception,id (UUID),userId -> User(id),Yes,PostgreSQL,localStorage (bloom_pre_folateStreak),PostgreSQL PreconceptionSupplementLog,Yes,FULL,MEDIUM,Folate & supplement adherence tracking. Justified by PreconceptionNutrition.tsx.
HealthVitalLog,Pregnancy & Health,id (UUID),userId -> User(id),Yes,PostgreSQL,Prisma HealthVitalLog,PostgreSQL HealthVitalLog,Yes,FULL,CRITICAL,Daily BP weight pulse glucose sleep symptoms. Justified by HealthVital in types.ts & server.ts.
BloodSugarLog,Pregnancy & Health,id (UUID),userId -> User(id),Yes,PostgreSQL,Prisma BloodSugarLog,PostgreSQL BloodSugarLog,Yes,FULL,CRITICAL,Gestational diabetes glucose logs. Justified by BloodSugarLog in schema.prisma.
KickSession,Pregnancy & Health,id (UUID),userId -> User(id),Yes,PostgreSQL,IndexedDB (kickSessions),PostgreSQL KickSession,Yes,FULL,HIGH,Fetal kick counting sessions. Justified by KickSession interface in types.ts & KickCounterPage.tsx.
ContractionLog,Pregnancy & Health,id (UUID),userId -> User(id),Yes,PostgreSQL,IndexedDB (contractions),PostgreSQL ContractionLog,Yes,FULL,HIGH,Labor contraction timer events. Justified by ContractionLog interface in types.ts & ContractionTimerPage.tsx.
Medication,Pregnancy & Health,id (UUID),userId -> User(id),Yes,PostgreSQL,IndexedDB (medicines),PostgreSQL Medication,Yes,FULL,CRITICAL,Prescribed prenatal medications. Justified by Medicine interface in types.ts & MedicinePage.tsx.
MedicationAdherenceLog,Pregnancy & Health,id (UUID),medicationId -> Medication(id),Yes,PostgreSQL,IndexedDB (isTakenToday),PostgreSQL MedicationAdherenceLog,Yes,FULL,HIGH,Daily pill adherence tracking. Justified by toggleMedicineTaken in AppContext.tsx.
Appointment,Pregnancy & Health,id (UUID),userId -> User(id),Yes,PostgreSQL,IndexedDB (appointments),PostgreSQL Appointment,Yes,FULL,HIGH,Doctor visits & hospital appointments. Justified by Appointment interface in types.ts.
BirthPlan,Pregnancy & Health,id (UUID),userId -> User(id),Yes,PostgreSQL,IndexedDB (user.birthPlan),PostgreSQL BirthPlan,Yes,FULL,HIGH,Birth preferences delivery type pain choices. Justified by BirthPlanPreference in types.ts & BirthPlanPage.tsx.
HospitalBagItem,Pregnancy & Health,id (UUID),userId -> User(id),Yes,PostgreSQL,IndexedDB (hospitalBag),PostgreSQL HospitalBagItem,Yes,PARTIAL,LOW,Hospital bag checklist. Justified by HospitalBagItem interface in types.ts & HospitalBagPage.tsx.
MoodLog,Pregnancy & Health,id (UUID),userId -> User(id),Yes,PostgreSQL,IndexedDB (moodLogs),PostgreSQL MoodLog,Yes,FULL,CRITICAL,Daily emotional mood & sleep quality. Justified by MoodLog interface in types.ts & MoodTrackerPage.tsx.
JournalEntry,Pregnancy & Health,id (UUID),userId -> User(id),Yes,PostgreSQL,IndexedDB (journalEntries),PostgreSQL JournalEntry,Yes,FULL,HIGH,Maternal memory journal posts & photos. Justified by JournalEntry interface in types.ts & JournalPage.tsx.
UserBabyNameFavorite,Pregnancy & Health,id (UUID),userId -> User(id),Yes,PostgreSQL,IndexedDB (babyNames),PostgreSQL UserBabyNameFavorite,Yes,PARTIAL,LOW,Favorited baby names shortlist. Justified by BabyName interface in types.ts & BabyNamesPage.tsx.
MedicalReportAttachment,Medical,id (UUID),userId -> User(id),Yes,PostgreSQL + S3,IndexedDB (scanReports),PostgreSQL + S3 Storage,Yes (Thumbnails),FULL,CRITICAL,Uploaded lab PDF & ultrasound image metadata. Justified by ScanReportAttachment in types.ts.
ExtractedBiomarker,Medical,id (UUID),attachmentId -> Attachment(id),Yes,PostgreSQL,React State,PostgreSQL ExtractedBiomarker,Yes,FULL,CRITICAL,OCR extracted clinical lab values. Justified by ExtractedMedicalField in types.ts & server.ts.
EmergencyContact,Care Circle,id (UUID),userId -> User(id),Yes,PostgreSQL,IndexedDB (emergencyContacts),PostgreSQL EmergencyContact,Yes (Mandatory Offline),FULL,HIGH,Emergency contacts for SOS dialing. Justified by EmergencyContact interface in types.ts & EmergencyContactsPage.tsx.
AgentMemory,AI Swarm,id (UUID),userId -> User(id),Yes,PostgreSQL,Prisma AgentMemory,PostgreSQL AgentMemory,Yes,FULL,HIGH,Extracted long-term AI memory facts. Justified by AgentMemory model in schema.prisma & MaternalMemoryService.ts.
AgentRun,AI Swarm,id (UUID),userId -> User(id),System,PostgreSQL,Prisma AgentRun,PostgreSQL AgentRun,No,PARTIAL,HIGH,AI agent execution trace & safety log. Justified by AgentRun model in schema.prisma & agentOrchestrator.ts.
TimelineTaskState,Application,id (UUID),userId -> User(id),Yes,PostgreSQL,localStorage (bloomnest_timeline_tasks_v1),PostgreSQL TimelineTaskState,Yes,PARTIAL,LOW,Gestational week checklist completion state. Justified by TimelinePage.tsx.
AppNotification,Application,id (UUID),userId -> User(id),Yes,PostgreSQL,IndexedDB (notifications),PostgreSQL AppNotification,Yes,NONE,LOW,App notification drawer alerts. Justified by AppNotification interface in types.ts.
Translation,Application,id (Int),None,System,PostgreSQL,Prisma Translation,PostgreSQL Translation,Yes (App Bundle),NONE,LOW,i18n multi-language translation strings. Justified by Translation model in schema.prisma.
AppState (Legacy),System,id (Int),None,Yes,PostgreSQL,Prisma AppState (id=1),DEPRECATED & REMOVED,No,NONE,HIGH,Legacy single-row model containing JSON arrays. To be exploded into relational entities.
