Entity,Status,Domain,Purpose,PrimaryKey,ForeignKeys,UserScoped,CanonicalOwner,CurrentStorage,TargetStorage,OfflineCache,ConflictStrategy,AIVisibility,Sensitivity,MigrationSource,MigrationTarget,SecurityRequirement,Evidence
User,KEEP,Identity & Access,Primary account identity & authentication,id (UUID),None,Yes,PostgreSQL,Prisma DB / In-Memory,PostgreSQL User Table,Yes,VERSIONED,FULL (Name/ID),CRITICAL,Prisma User / inMemoryUsers,PostgreSQL User,Mandatory JWT requireAuth middleware,User interface in types.ts & server.ts auth
JourneyProfile,KEEP,Maternal Journey,Tracks maternal stage LMP EDD week & preconception/postpartum details,id (UUID),userId -> User(id),Yes,PostgreSQL,Prisma JourneyProfile,PostgreSQL JourneyProfile,Yes,VERSIONED,FULL,HIGH,Prisma JourneyProfile / AppState,PostgreSQL JourneyProfile,Mandatory JWT requireAuth middleware,UserProfile in types.ts & schema.prisma
PreconceptionCycleLog,NEW,Preconception,Daily cervical mucus LH test BBT intercourse observations,id (UUID),userId -> User(id),Yes,PostgreSQL,localStorage (bloom_pre_cycleLogs),PostgreSQL PreconceptionCycleLog,Yes,LWW,FULL,CRITICAL,localStorage bloom_pre_cycleLogs,PostgreSQL PreconceptionCycleLog,Mandatory JWT requireAuth middleware,PreconceptionCycleLab.tsx & CycleJourneyPage.tsx
PreconceptionSupplementLog,NEW,Preconception,Daily folate & vitamin supplement adherence,id (UUID),userId -> User(id),Yes,PostgreSQL,localStorage (bloom_pre_folateStreak),PostgreSQL PreconceptionSupplementLog,Yes,LWW,FULL,MEDIUM,localStorage bloom_pre_folateStreak,PostgreSQL PreconceptionSupplementLog,Mandatory JWT requireAuth middleware,PreconceptionNutrition.tsx
HealthVitalLog,KEEP,Pregnancy & Health,General vital signs (BP pulse weight temperature waterMl),id (UUID),userId -> User(id),Yes,PostgreSQL,Prisma HealthVitalLog,PostgreSQL HealthVitalLog,Yes (30 Days),APPEND_ONLY,FULL,CRITICAL,Prisma HealthVitalLog / AppContext,PostgreSQL HealthVitalLog,Mandatory JWT requireAuth middleware,healthVitalsService.ts & schema.prisma
BloodSugarLog,KEEP,Pregnancy & Health,Single canonical owner for discrete gestational glucose logs,id (UUID),userId -> User(id),Yes,PostgreSQL,Prisma BloodSugarLog,PostgreSQL BloodSugarLog,Yes,APPEND_ONLY,FULL,CRITICAL,Prisma BloodSugarLog,PostgreSQL BloodSugarLog,Mandatory JWT requireAuth middleware,schema.prisma & HealthTrackerPage.tsx
KickSession,NEW,Pregnancy & Health,Single canonical owner for timed fetal kick counting sessions,id (UUID),userId -> User(id),Yes,PostgreSQL,IndexedDB (kickSessions),PostgreSQL KickSession,Yes,APPEND_ONLY,FULL,HIGH,IndexedDB kickSessions,PostgreSQL KickSession,Mandatory JWT requireAuth middleware,KickSession in types.ts & KickCounterPage.tsx
ContractionLog,NEW,Pregnancy & Health,Single canonical owner for labor contraction timer events,id (UUID),userId -> User(id),Yes,PostgreSQL,IndexedDB (contractions),PostgreSQL ContractionLog,Yes,APPEND_ONLY,FULL,HIGH,IndexedDB contractions,PostgreSQL ContractionLog,Mandatory JWT requireAuth middleware,ContractionLog in types.ts & ContractionTimerPage.tsx
Medication,NEW,Pregnancy & Health,Prescribed prenatal medications & supplement schedules,id (UUID),userId -> User(id),Yes,PostgreSQL,IndexedDB (medicines),PostgreSQL Medication,Yes,VERSIONED,FULL,CRITICAL,IndexedDB medicines,PostgreSQL Medication,Mandatory JWT requireAuth middleware,Medicine in types.ts & MedicinePage.tsx
MedicationAdherenceLog,NEW,Pregnancy & Health,Daily adherence logs for prescribed medications,id (UUID),medicationId -> Medication(id),Yes,PostgreSQL,IndexedDB (isTakenToday),PostgreSQL MedicationAdherenceLog,Yes,LWW,FULL,HIGH,IndexedDB isTakenToday,PostgreSQL MedicationAdherenceLog,Mandatory JWT requireAuth middleware,toggleMedicineTaken in AppContext.tsx
Appointment,NEW,Pregnancy & Health,Prenatal doctor visits & hospital appointments,id (UUID),userId -> User(id),Yes,PostgreSQL,IndexedDB (appointments),PostgreSQL Appointment,Yes,VERSIONED,FULL,HIGH,IndexedDB appointments,PostgreSQL Appointment,Mandatory JWT requireAuth middleware,Appointment in types.ts & TimelinePage.tsx
BirthPlan,NEW,Pregnancy & Health,Single canonical owner for birth preferences & delivery choices,id (UUID),userId -> User(id),Yes,PostgreSQL,IndexedDB (user.birthPlan),PostgreSQL BirthPlan,Yes,VERSIONED,FULL,HIGH,IndexedDB user.birthPlan,PostgreSQL BirthPlan,Mandatory JWT requireAuth middleware,BirthPlanPreference in types.ts & BirthPlanPage.tsx
HospitalBagItem,NEW,Pregnancy & Health,Hospital bag packing checklist items,id (UUID),userId -> User(id),Yes,PostgreSQL,IndexedDB (hospitalBag),PostgreSQL HospitalBagItem,Yes,SPECIAL_RULE,PARTIAL,LOW,IndexedDB hospitalBag,PostgreSQL HospitalBagItem,Mandatory JWT requireAuth middleware,HospitalBagItem in types.ts & HospitalBagPage.tsx
MoodLog,KEEP,Pregnancy & Health,Single canonical owner for daily emotional mood & sleep quality,id (UUID),userId -> User(id),Yes,PostgreSQL,IndexedDB (moodLogs) / AppState,PostgreSQL MoodLog,Yes,LWW,FULL,CRITICAL,IndexedDB moodLogs / AppState.moodLogs,PostgreSQL MoodLog,Mandatory JWT requireAuth middleware,MoodLog in types.ts & MoodTrackerPage.tsx
JournalEntry,NEW,Pregnancy & Health,Maternal journal entries & single photo attachments,id (UUID),userId -> User(id),Yes,PostgreSQL,IndexedDB (journalEntries) / AppState,PostgreSQL JournalEntry,Yes,VERSIONED,FULL,HIGH,IndexedDB journalEntries,PostgreSQL JournalEntry,Mandatory JWT requireAuth middleware,JournalEntry in types.ts & JournalPage.tsx
UserBabyNameFavorite,NEW,Pregnancy & Health,Favorited baby names shortlist,id (UUID),userId -> User(id),Yes,PostgreSQL,IndexedDB (babyNames),PostgreSQL UserBabyNameFavorite,Yes,LWW,PARTIAL,LOW,IndexedDB babyNames,PostgreSQL UserBabyNameFavorite,Mandatory JWT requireAuth middleware,BabyName in types.ts & BabyNamesPage.tsx
MedicalReportAttachment,NEW,Medical,Metadata & object storage path for scan PDF/image uploads,id (UUID),userId -> User(id),Yes,PostgreSQL + S3,IndexedDB (scanReports),PostgreSQL + S3 Storage,Yes (Thumbnails),APPEND_ONLY,FULL,CRITICAL,IndexedDB scanReports,PostgreSQL + S3 Storage,Strict file authorization endpoint req.user.id check,ScanReportAttachment in types.ts & ScanReportUploadModal.tsx
ExtractedBiomarker,NEW,Medical,OCR extracted structured clinical values from lab/scan reports,id (UUID),attachmentId -> Attachment(id),Yes,PostgreSQL,React State,PostgreSQL ExtractedBiomarker,Yes,LWW,FULL,CRITICAL,React State / OCR scan extract,PostgreSQL ExtractedBiomarker,Mandatory JWT requireAuth middleware,ExtractedMedicalField in types.ts & server.ts OCR
